Slide Tweet,Slide Tweet
Title,Title
Title Link,Title Link
Title Bar Color,Title Bar Color
Title Color,Title Color
Tweet Title Color,Tweet Title Color
Number of tweets,Number of tweets
Term,Term
Frame Height,Frame Height
Frame Width,Frame Width
Frame Color,Frame Color
Frame Border Width,Frame Border Width
Icon Height,Icon Height
Icon Width,Icon Width
Time Out Delay,Time Out Delay
Consumer Key,Consumer Key
Consumer Secret,Consumer Secret
Oauth Access Token,Oauth Access Token
Oauth Access Token Secret,Oauth Access Token Secret
